query_index,gt_rank,ap,precision_5,precision_10,recall_5,recall_10,f1_5,f1_10
1756,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1757,4,0.25,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1758,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759,9,0.1111111111111111,0.0,0.1,0.0,1.0,0.0,0.18181818181818182
1760,7,0.14285714285714285,0.0,0.1,0.0,1.0,0.0,0.18181818181818182
1761,10,0.1,0.0,0.1,0.0,1.0,0.0,0.18181818181818182
1762,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1763,2,0.5,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1764,2,0.5,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1765,1,1.0,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1766,10,0.1,0.0,0.1,0.0,1.0,0.0,0.18181818181818182
1767,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1769,8,0.125,0.0,0.1,0.0,1.0,0.0,0.18181818181818182
1770,6,0.16666666666666666,0.0,0.1,0.0,1.0,0.0,0.18181818181818182
1771,4,0.25,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1772,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774,1,1.0,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1775,1,1.0,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1776,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777,8,0.125,0.0,0.1,0.0,1.0,0.0,0.18181818181818182
1778,2,0.5,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1779,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1780,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781,4,0.25,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1782,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1783,1,1.0,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1784,2,0.5,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1785,1,1.0,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1786,10,0.1,0.0,0.1,0.0,1.0,0.0,0.18181818181818182
1787,1,1.0,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1788,4,0.25,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1789,2,0.5,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1790,1,1.0,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1791,1,1.0,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1792,2,0.5,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1793,1,1.0,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1794,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1795,1,1.0,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1796,1,1.0,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1797,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1798,1,1.0,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1799,1,1.0,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1800,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1801,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1802,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1803,2,0.5,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1804,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1805,3,0.3333333333333333,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1806,8,0.125,0.0,0.1,0.0,1.0,0.0,0.18181818181818182
1807,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
